EMPID,STATUS,TITLE,DEPARTMENT,FUNCTION,DIVISION,UNION_STATUS,EMPLOYMENT_CATEGORY,AGE,GENERATION,PAY_SCALE_GROUP,GENDER,ETHNIC_ORIGIN,ACTION_REASON,LAST_PERFORMANCE_RATING,LAST_POTENTIAL_RATING,EMPLOYEE_PAY_FREQUENCY,EMPLOYEE_PAY_BASIS,MANAGER_ID,ACTION_TYPE
1555,Active,Staff Associate,Operations-West,Operations,Product,Non-Union,Regular Employee PT,17,Generation Y,Not Assigned,Male,U,,No Rating,No Rating,Bi-Weekly,Hourly,S2047,
1562,Terminated,Laborer,Operations-East,Operations,Product,Non-Union,Regular Employee FT,18,Generation Y,Group C,Male,W,Resigned - Working Conditions,No Rating,No Rating,Bi-Weekly,Hourly,S3151,Voluntary Separation
1569,Active,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,18,Generation Y,Group C,Male,W,,No Rating,No Rating,Bi-Weekly,Hourly,S2445,
1576,Active,Laborer,Operations-East,Operations,Product,Union,Regular Employee PT,18,Generation Y,Not Assigned,Male,W,,No Rating,No Rating,Bi-Weekly,Hourly,S1283,
1583,Active,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee PT,19,Generation Y,Group C,Male,W,,No Rating,No Rating,Bi-Weekly,Hourly,S2445,
1590,Terminated,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,18,Generation Y,Group C,Male,H,Resigned - Personal Reasons,No Rating,No Rating,Bi-Weekly,Hourly,S2713,Voluntary Separation
1597,Active,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee PT,19,Generation Y,Group C,Female,W,,No Rating,No Rating,Bi-Weekly,Hourly,S2146,
1604,Terminated,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee PT,18,Generation Y,Group C,Male,W,Resigned - Personal Reasons,No Rating,No Rating,Bi-Weekly,Hourly,S455,Voluntary Separation
1611,Active,Merchandiser,Sales-Central,Sales,Sales,Union,Regular Employee PT,19,Generation Y,Not Assigned,Male,W,,No Rating,No Rating,Bi-Weekly,Hourly,S1894,
1618,Active,Laborer,Operations-West,Operations,Product,Non-Union,Regular Employee PT,19,Generation Y,Group C,Male,W,,No Rating,No Rating,Bi-Weekly,Hourly,S2987,
1625,Terminated,Merchandiser,Sales-Central,Sales,Sales,Union,Regular Employee FT,19,Generation Y,Not Assigned,Male,B,Resigned - Job Abandonment,No Rating,No Rating,Bi-Weekly,Hourly,S1126,Voluntary Separation
1632,Terminated,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee PT,19,Generation Y,Group C,Female,W,Resigned - Personal Reasons,No Rating,No Rating,Bi-Weekly,Hourly,S637,Voluntary Separation
